ratio	UR	EpsNE	MaxMin	Punish	Rob:0.1	Adv:0.1	R:2.5:0.0	R:2.5:0.5	R:2.5:1.0
1	52.48008714194166	69.32431943042289	63.98501826345384	50.12764228308227	63.08117341936081	68.43427657674148	62.8930384710659	67.03186360158718	68.2970501736757
2	51.07658170313145	65.80383479972099	62.15483198551656	48.00832638586775	60.75989662597737	65.52416210671576	59.88677675200489	63.809046566733514	64.82746761769728
3	49.673076264321274	62.283350169019165	60.32464570757929	45.88901048865327	58.43861983259396	62.614047636690074	56.88051503294387	60.586229531879816	61.35788506171892
4	48.26957082551104	58.76286553831729	58.49445942964203	43.76969459143877	56.11734303921055	59.70393316666437	53.87425331388288	57.363412497026104	57.888302505740555
5	46.86606538670084	55.24238090761544	56.66427315170478	41.650378694224294	53.79606624582715	56.793818696638645	50.86799159482188	54.14059546217244	54.41871994976214
6	45.46255994789069	51.721896276913554	54.834086873767504	39.5310627970098	51.47478945244371	53.883704226612906	47.86172987576086	50.91777842731872	50.94913739378378
7	44.05905450908044	48.201411646211746	53.00390059583023	37.411746899795304	49.153512659060304	50.97358975658721	44.85546815669988	47.694961392465096	47.4795548378054
8	42.65554907027028	44.680927015509894	51.17371431789298	35.292431002580855	46.83223586567692	48.063475286561555	41.84920643763885	44.47214435761145	44.00997228182704
9	41.252043631460076	41.160442384808015	49.34352803995571	33.173115105366335	44.51095907229348	45.15336081653581	38.84294471857786	41.249327322757736	40.54038972584864
10	39.84853819264989	37.63995775410613	47.513341762018435	31.05379920815184	42.189682278910055	42.24324634651007	35.83668299951683	38.02651028790403	37.07080716987023
11	38.4450327538397	34.1194731234043	45.68315548408117	28.934483310937352	39.86840548552667	39.33313187648439	32.83042128045585	34.8036932530504	33.60122461389188
