ratio	UR	EpsNE	MaxMin	Adv:0.1
1	52.48008714	69.32431943	63.98501826	68.43427658
2	51.0765817	65.8038348	62.15483199	65.52416211
3	49.67307626	62.28335017	60.32464571	62.61404764
4	48.26957083	58.76286554	58.49445943	59.70393317
5	46.86606539	55.24238091	56.66427315	56.7938187
6	45.46255995	51.72189628	54.83408687	53.88370423
7	44.05905451	48.20141165	53.0039006	50.97358976
8	42.65554907	44.68092702	51.17371432	48.06347529
9	41.25204363	41.16044238	49.34352804	45.15336082
10	39.84853819	37.63995775	47.51334176	42.24324635
11	38.44503275	34.11947312	45.68315548	39.33313188
